1::relaxation: inner damping factor,1::relaxation: sweeps,1::relaxation: type,3::relaxation: damping factor,3::relaxation: sweeps,3::relaxation: type,4::relaxation: sweeps,4::relaxation: type,time
0.75,2,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.6847
0.25,2,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.693
0.5,1,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.6955
0.25,1,Two-stage Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.7013
0.25,2,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,MT Gauss-Seidel,14.7044
0.5,1,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.705
0.5,1,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.7066
0.25,2,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.7071
0.75,1,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.7088
0.25,1,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.7119
0.75,1,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.716
0.5,2,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.7163
0.75,1,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.719
0.25,2,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.7273
0.5,2,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.7291
0.25,2,Two-stage Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,MT Gauss-Seidel,14.731
0.75,1,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.7338
0.5,1,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.7384
0.5,2,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.7662
0.25,2,Two-stage Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,4,MT Gauss-Seidel,14.778
0.25,1,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.7808
0.25,1,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.7882
0.5,1,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.8018
0.5,2,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.805
0.5,1,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.859
0.25,1,Two-stage Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.8867
0.25,1,Two-stage Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.8902
